60 300
10 18 50
51 26 94
25 29 81
14 3 14
20 34 46
52 27 57
51 26 39
26 57 9
13 14 62
35 32 45
54 47 44
1 27 81
15 41 76
30 5 90
25 40 98
36 48 71
17 21 43
27 40 24
56 29 31
40 13 37
34 24 67
44 39 6
59 20 94
44 16 47
36 11 92
44 14 85
49 49 76
46 29 70
31 22 61
2 23 78
0 31 72
21 1 29
8 9 4
12 43 81
46 13 3
55 55 13
23 56 3
2 55 26
1 21 100
39 13 84
51 48 22
40 16 90
40 54 73
32 37 4
54 29 85
7 54 38
31 49 50
34 4 78
46 23 60
30 43 48
28 6 70
13 12 13
34 44 66
0 5 41
23 29 79
53 6 30
41 23 75
41 20 59
30 16 33
45 37 93
17 17 20
38 51 47
0 57 37
37 30 58
19 55 21
15 14 16
40 22 11
55 7 15
13 36 20
5 29 65
22 49 15
32 3 21
43 36 11
59 21 12
35 26 3
15 24 100
31 20 32
34 11 65
16 28 73
44 7 82
47 37 32
45 39 62
9 42 32
30 8 81
32 45 78
20 8 14
19 0 74
27 58 37
39 25 57
38 44 6
19 3 36
55 3 56
20 40 41
53 20 4
58 28 37
59 54 59
46 55 13
23 10 18
49 10 29
14 55 83
31 55 8
51 42 27
54 8 15
2 37 1
23 50 28
58 4 40
30 13 77
46 35 19
49 27 13
38 20 27
26 58 68
55 50 42
23 11 30
59 32 36
30 11 82
21 25 49
33 45 86
8 29 30
55 52 50
41 23 13
47 40 44
36 39 74
45 0 99
56 7 38
5 12 80
35 12 68
59 48 13
16 8 19
49 29 69
5 33 39
33 57 32
51 21 32
59 19 29
55 38 22
38 9 43
59 10 7
36 8 39
21 47 64
38 7 78
20 15 69
58 59 43
22 40 18
32 11 45
44 7 20
57 10 67
6 28 50
53 46 96
41 52 98
48 53 36
59 59 94
42 33 49
1 20 76
37 18 89
11 4 23
32 15 11
6 10 38
41 24 46
52 24 2
52 34 89
23 0 35
11 16 11
45 50 40
39 34 26
29 3 88
24 38 22
32 32 7
50 50 70
50 26 86
23 11 3
14 17 22
52 26 82
0 58 22
44 19 83
46 43 47
50 52 68
6 45 95
51 1 12
18 24 86
42 41 29
3 17 80
6 44 49
32 6 39
32 35 32
51 50 9
57 34 60
24 40 95
47 41 98
2 49 26
49 17 78
21 57 64
47 41 55
53 35 70
52 13 17
19 30 40
31 54 37
15 39 82
1 7 38
4 48 18
34 33 55
50 11 99
59 5 64
23 24 45
51 47 69
29 32 75
29 41 84
1 25 26
13 17 22
22 40 18
15 50 55
19 57 51
23 47 56
56 15 13
4 22 72
38 0 50
14 26 17
59 1 26
27 10 54
31 23 87
23 32 44
19 31 76
53 55 82
55 16 6
59 30 37
15 20 63
40 1 77
32 36 67
6 10 51
48 53 41
6 43 1
44 14 52
14 33 93
36 44 30
34 58 59
30 48 95
22 10 46
20 14 83
39 44 36
34 56 4
14 18 6
9 50 22
39 34 65
35 57 51
47 38 9
3 49 46
6 40 3
40 45 83
31 53 49
19 34 36
33 36 48
16 19 90
7 49 25
20 18 47
59 41 76
36 40 58
40 0 70
40 51 56
11 49 83
28 35 59
15 16 20
28 28 86
45 22 13
11 5 28
28 29 75
9 1 73
43 49 18
39 19 58
13 33 85
50 11 90
49 12 65
51 29 60
52 50 4
31 44 6
8 59 75
46 46 11
9 1 28
2 51 42
8 12 74
31 27 52
43 37 33
8 42 88
56 30 2
36 32 63
24 17 37
45 26 54
17 20 100
42 31 8
43 27 62
13 56 83
1 59 7
7 53 25
49 59 9
3 25 64
58 24 82
32 4 26
6 13 2
10 25 58
51 23 76
50 56 55
51 8 33
43 34 68
